approach_name,accuracy,f1,best_param
limpeza_simples_stem__SVM_RBF__BOW,0.6753333333333333,0.8040241448692153,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__SVM_RBF__BOW,0.6746666666666666,0.8037007240547064,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__SVM_RBF__BOW,0.6686666666666666,0.8009611533840609,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__SVM_RBF__BOW,0.6686666666666666,0.8009611533840609,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__SVM_RBF__BOW,0.6686666666666666,0.8009611533840609,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__SVM_RBF__BOW,0.6686666666666666,0.8009611533840609,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples__MLP_2Layers__BOW,0.8086666666666666,0.8696047251249432,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__MLP_2Layers__BOW,0.8173333333333334,0.8769092542677448,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.5}"
limpeza_simples_stem__MLP_2Layers__BOW,0.8013333333333333,0.8666069829901522,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__MLP_2Layers__BOW,0.8146666666666667,0.8739800543970988,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__MLP_2Layers__BOW,0.7906666666666666,0.8613074204946997,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem__MLP_2Layers__BOW,0.8046666666666666,0.8679585398828301,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__MLP_2Layers__BOW,0.7986666666666666,0.864816472694718,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__MLP_2Layers__BOW,0.8113333333333334,0.8721192950745593,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples__Random_Forest__BOW,0.7573333333333333,0.8444444444444444,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_lem__Random_Forest__BOW,0.7573333333333333,0.844044558697515,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stem__Random_Forest__BOW,0.7713333333333333,0.8515794028559065,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_lem_stem__Random_Forest__BOW,0.768,0.8496110630942092,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords__Random_Forest__BOW,0.7706666666666667,0.8500435919790758,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem__Random_Forest__BOW,0.768,0.8485639686684073,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_stem__Random_Forest__BOW,0.7726666666666666,0.850635129215944,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__Random_Forest__BOW,0.7846666666666666,0.8583954405962297,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples__Logistic_Regression__BOW,0.8166666666666667,0.8734468476760239,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__Logistic_Regression__BOW,0.8186666666666667,0.8747697974217311,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__Logistic_Regression__BOW,0.8146666666666667,0.8722426470588236,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__Logistic_Regression__BOW,0.82,0.8761467889908257,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__Logistic_Regression__BOW,0.7866666666666666,0.858281665190434,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__Logistic_Regression__BOW,0.7986666666666666,0.8650580875781948,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__Logistic_Regression__BOW,0.7926666666666666,0.8610987047789191,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__Logistic_Regression__BOW,0.7986666666666666,0.8650580875781948,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
